# Job started on: Wed Aug 30 11:52:43 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:53:04 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = CTEQ6.6
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   9.4949 4.8806e+06 4.5094e+06 5.2518e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.5094e+06 5.2518e+06
   9.6970 4.4722e+06 4.1325e+06 4.8118e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.1325e+06 4.8118e+06
   9.8990 4.1031e+06 3.7918e+06 4.4143e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7918e+06 4.4143e+06
  10.1010 3.7691e+06 3.4835e+06 4.0548e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4835e+06 4.0548e+06
  10.3030 3.4665e+06 3.2040e+06 3.7290e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2040e+06 3.7290e+06
  10.5051 3.1919e+06 2.9503e+06 3.4335e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.9503e+06 3.4335e+06
  10.7071 2.9424e+06 2.7197e+06 3.1650e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7197e+06 3.1650e+06
  10.9091 2.7153e+06 2.5099e+06 2.9207e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5099e+06 2.9207e+06
  11.1111 2.5084e+06 2.3187e+06 2.6982e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3187e+06 2.6982e+06
  11.3131 2.3198e+06 2.1442e+06 2.4953e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.1442e+06 2.4953e+06
  11.5152 2.1474e+06 1.9849e+06 2.3100e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9849e+06 2.3100e+06
  11.7172 1.9899e+06 1.8392e+06 2.1406e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8392e+06 2.1406e+06
