# Job started on: Wed Aug 30 11:53:35 CEST 2023 ....
# FONLL heavy quark hadroproduction cross section, calculated on Wed Aug 30 11:54:06 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.4.0 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 2515, ebeam2 = 2515
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   9.6970 4.3217e+06 4.2187e+06 4.4248e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.2187e+06 4.4248e+06
   9.8990 3.9712e+06 3.8761e+06 4.0664e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.8761e+06 4.0664e+06
  10.1010 3.6535e+06 3.5655e+06 3.7415e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.5655e+06 3.7415e+06
  10.3030 3.3651e+06 3.2837e+06 3.4466e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2837e+06 3.4466e+06
  10.5051 3.1029e+06 3.0275e+06 3.1784e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0275e+06 3.1784e+06
  10.7071 2.8643e+06 2.7943e+06 2.9344e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.7943e+06 2.9344e+06
  10.9091 2.6469e+06 2.5818e+06 2.7119e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5818e+06 2.7119e+06
  11.1111 2.4485e+06 2.3880e+06 2.5090e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.3880e+06 2.5090e+06
  11.3131 2.2672e+06 2.2109e+06 2.3236e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2109e+06 2.3236e+06
  11.5152 2.1015e+06 2.0490e+06 2.1540e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0490e+06 2.1540e+06
  11.7172 1.9497e+06 1.9008e+06 1.9987e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.9008e+06 1.9987e+06
  11.9192 1.8106e+06 1.7649e+06 1.8564e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7649e+06 1.8564e+06
  12.1212 1.6831e+06 1.6403e+06 1.7258e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.6403e+06 1.7258e+06
  12.3232 1.5659e+06 1.5260e+06 1.6059e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5260e+06 1.6059e+06
  12.5253 1.4582e+06 1.4208e+06 1.4957e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4208e+06 1.4957e+06
  12.7273 1.3592e+06 1.3241e+06 1.3942e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3241e+06 1.3942e+06
