# Job started on: Thu Aug 10 10:51:00 CEST 2023 ...
# FONLL heavy quark hadroproduction cross section, calculated on Thu Aug 10 10:51:30 CEST 2023
# FONLL version and perturbative order: ## FONLL v1.3.4 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = NNPDF30_nlo_as_0118
# ptmin = 0
# ptmax = 20
# ymin  = -1
# ymax  = 1
# Uncertainties from PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   9.8990 9.9533e+06 9.7151e+06 1.0191e+07 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.7151e+06 1.0191e+07
  10.1010 9.2144e+06 8.9936e+06 9.4352e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9936e+06 9.4352e+06
  10.3030 8.5392e+06 8.3342e+06 8.7442e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.3342e+06 8.7442e+06
  10.5051 7.9216e+06 7.7310e+06 8.1122e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.7310e+06 8.1122e+06
  10.7071 7.3559e+06 7.1785e+06 7.5333e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1785e+06 7.5333e+06
  10.9091 6.8373e+06 6.6720e+06 7.0026e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.6720e+06 7.0026e+06
  11.1111 6.3612e+06 6.2070e+06 6.5155e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.2070e+06 6.5155e+06
  11.3131 5.9238e+06 5.7798e+06 6.0680e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.7798e+06 6.0680e+06
  11.5152 5.5216e+06 5.3868e+06 5.6563e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.3868e+06 5.6563e+06
  11.7172 5.1512e+06 5.0251e+06 5.2774e+06 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0251e+06 5.2774e+06
